Title,Description,Artist,Culture,Countries,Teaser Text,Url,Image,regulerImage,largeImage,date,Date - century,medium,medium,accessionNumber,galleryInformation
"Jason Putting the Dragon to Sleep (Draconem velleris excubitorem sopit Iason), from The Metamorphoses of Ovid (Metamorphosean Sive Transformationum), plate 62","Antonio Tempesta (Italian, Florence 1555–1630 Rome)",Antonio Tempesta,,,"Antonio Tempesta (Italian, Florence 1555–1630 Rome)  Date: Published after 1606 Accession Number: 35.6(63) ",/art/collection/search/402128?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=433,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,Published after 1606,17th century,Etching,Etching,35.6(63),Not on view
"Winged putto holding a cardinal""s hat over a dragon head","After Cherubino Alberti (Zaccaria Mattia) (Italian, Borgo Sansepolcro 1553–1615 Rome)",Cherubino Alberti (Zaccaria Mattia),,,"After Cherubino Alberti (Zaccaria Mattia) (Italian, Borgo Sansepolcro 1553–1615 Rome)  Date: 17th century Accession Number: 51.501.3768 ",/art/collection/search/651962?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=434,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP836894.jpg,dp/web-additional/DP836894.jpg,dp/web-large/DP836894.jpg,17th century,17th century,Engraving (reverse copy),Engraving,51.501.3768,Not on view
"St. Michael the Haut Prince Fighting the Dragon Window, The Armory, Belmont House, New York (documentary photograph of a window installed 1915)","Related artist Helen Maitland Armstrong (American (born Italy), Florence 1869–1948 New York)",Helen Maitland Armstrong,,,"Related artist Helen Maitland Armstrong (American (born Italy), Florence 1869–1948 New York)  Date: ca. 1915 Accession Number: Ref.Armstrong.2012.32 ",/art/collection/search/420891?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=435,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1915,20th century,Photograph,Photograph,Ref.Armstrong.2012.32,Not on view
Design for an Alter with Saint Michael and the Dragon,"Attributed to Johann Baptist Modler (German, 1700–1774)",Johann Baptist Modler,,,"Attributed to Johann Baptist Modler (German, 1700–1774)  Date: 1715–74 Accession Number: 67.536 ",/art/collection/search/335808?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=436,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP804357.jpg,dp/web-additional/DP804357.jpg,dp/web-large/DP804357.jpg,1715–74,18th century,"Pen and black and touches of brown ink, brush and gray and touches of pink wash",Ink,67.536,Not on view
Stained Glass Panel of St. George and the Dragon, ,,French,France,Date: 15th century Accession Number: 29.156.57 ,/art/collection/search/26855?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=437,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,15th century,15th century,Stained glass,Stained glass,29.156.57,Not on view
Stained Glass Rondel of St. George and the Dragon, ,,French,France,Date: 15th century Accession Number: 29.156.62 ,/art/collection/search/26860?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=438,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,15th century,15th century,Stained glass,Stained glass,29.156.62,Not on view
"Dragon Fountain Design, from ""Nouvelle Suite de Cahiers arabesques chinois a l'usage des dessinateurs et des peintres""","Jean Pillement (French, Lyons 1728–1808 Lyons)",Jean Pillement,,,"Jean Pillement (French, Lyons 1728–1808 Lyons)  Date: 1790–99 Accession Number: 21.91.170 ",/art/collection/search/902855?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=439,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1790–99,18th century,Etching,Etching,21.91.170,Not on view
"Dragon Lady, from the Bread End Labels series (D290-3)","News Syndicate Company, Inc. ","News Syndicate Company, Inc.",,,"News Syndicate Company, Inc. Date: 1950s Accession Number: 63.350.307.290.3.1 ",/art/collection/search/688652?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=440,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1950s,20th century,Commercial color lithograph,Commercial color lithograph,63.350.307.290.3.1,Not on view
Ojime: Ceramic bead with design of dragon in gold and enamel, ,,Japan,Japan,Date: 18th century Accession Number: 38.25.126.1 ,/art/collection/search/63324?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=441,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,18th century,18th century,"Faience, covered with cream colored glaze, crackled and decorated with gold and enamels (Satsuma ware)",Faience,38.25.126.1,Not on view
"The Queen seated on the dragon killed by Saint George who stands at center, Saint Louis of Toulouse at right holding a bishop""s staff","Andrea Zucchi (Italian, Venice 1679–1740 Dresden)",Andrea Zucchi,,,"Andrea Zucchi (Italian, Venice 1679–1740 Dresden)  Date: ca. 1720 Accession Number: 49.95.2310 ",/art/collection/search/766998?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=442,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1720,18th century,Etching,Etching,49.95.2310,Not on view
Design for the Headdress of a Horse Crowned by a Small Dragon,"Possibly by Baccio del Bianco (Italian, Florence 1604–1656 Escorial) (and workshop)",Baccio del Bianco,,,"Possibly by Baccio del Bianco (Italian, Florence 1604–1656 Escorial)  (and workshop) Date: 1620–1700 Accession Number: 48.122.2(2) ",/art/collection/search/410332?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=443,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP824420.jpg,dp/web-additional/DP824420.jpg,dp/web-large/DP824420.jpg,1620–1700,17th century,"Blank ink and gray washes, heightened with silver (?)",Blank ink and gray washes,48.122.2(2),Not on view
The Adventures of St. George After His Famous Encounter With the Dragon,"Written by William F. Peacock (British, active 1860s)",William F. Peacock,,,"Written by William F. Peacock (British, active 1860s)  Date: ca. 1865 Accession Number: 1970.565.134 ",/art/collection/search/334957?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=444,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1865,19th century,"steel engraving, hand-colored wash",steel engraving,1970.565.134,Not on view
"Three variants for fireplace designs ornamented with a depiction of Jason and the Dragon [?] at upper left and a Bacchic cortège and bust at upper right, from Livre de Cheminées Executées dans les Apartemens de Versailles, plate 3, bound in Oeuvres. Vol. I","Pierre Le Pautre (French, ca. 1660–1744)",Pierre Le Pautre,,,"Pierre Le Pautre (French, ca. 1660–1744)  Date: 1670–99 Accession Number: 33.84(1.238) ",/art/collection/search/431298?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=445,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1670–99,17th century,Etching,Etching,33.84(1.238),Not on view
"Three variants for fireplace designs ornamented with Venus and Cupid at upper left and St. George and the Dragon at upper right, from Livre de Cheminées Executées dans les Apartemens de Versailles, plate 6, bound in Oeuvres. Vol. I","Pierre Le Pautre (French, ca. 1660–1744)",Pierre Le Pautre,,,"Pierre Le Pautre (French, ca. 1660–1744)  Date: 1670–99 Accession Number: 33.84(1.241) ",/art/collection/search/431303?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=446,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1670–99,17th century,Etching,Etching,33.84(1.241),Not on view
"Dragon Lily, Miss Engel, from the Fairest Flowers of the World series (N106) to promote Honest Long Cut Tobacco manufactured by W. Duke Sons &amp; Co.","Issued by W. Duke, Sons &amp; Co. (New York and Durham, N.C.)","W. Duke, Sons & Co.",,,"Issued by W. Duke, Sons &amp; Co. (New York and Durham, N.C.)  Date: 1888 Accession Number: 63.350.205.106.32 ",/art/collection/search/427110?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=447,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1888,19th century,Commercial color lithograph,Commercial color lithograph,63.350.205.106.32,Not on view
"The young dragon offers to serve Pista, from ""Fortune""s Favourite, or the Very Wonderful Adventures of Pista the Swineheard,"" in ""Fairy Tales from all Nations""","After Richard Doyle (British, London 1824–1883 London)",Richard Doyle,,,"After Richard Doyle (British, London 1824–1883 London)  Date: 1849 Accession Number: 34.36.206 ",/art/collection/search/898419?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=448,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1849,19th century,"Wood engraving, printed in brown ink; proof",Wood engraving,34.36.206,Not on view
"The young dragon offers to serve Pista, from ""Fortune""s Favourite, or the Very Wonderful Adventures of Pista the Swineherd,"" in ""Fairy Tales from all Nations""","After Richard Doyle (British, London 1824–1883 London)",Richard Doyle,,,"After Richard Doyle (British, London 1824–1883 London)  Date: 1849 Accession Number: 34.36.205 ",/art/collection/search/898417?&searchField=Title&ft=Dragon&offset=400&rpp=100&amp;pos=449,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1849,19th century,Wood engraving; proof,Wood engraving,34.36.205,Not on view
The Dragon,Daniel Philip Platt ,Daniel Philip Platt,,,Daniel Philip Platt Date: ca. 20th century Accession Number: 55.553.183 ,/art/collection/search/427200?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=301,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 20th century,20th century,Soft-ground etching and engraving,Etching and engraving,55.553.183,Not on view
Chilins (Chinese Chimerical Creatures) Fighting with a Dragon, ,,,,Date: 16th century Accession Number: 55.121.35 ,/art/collection/search/451319?&searchField=Title&ft=Dragon&offset=300&rpp=100&amp;pos=302,https://images.metmuseum.org/CRDImages/is/mobile-large/sf55-121-35.jpg,is/web-additional/sf55-121-35.jpg,is/web-large/sf55-121-35.jpg,16th century,16th century,"Ink, opaque watercolor, and gold on paper",Paper,55.121.35,Not on view
